f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Decision
0.61586,0.032115,0.71384,0.066519,0.032761,0.35105,0.85627,0.58348,0.12553,0.73982,0.89166,0.059693,0.41234,0.71991,no
0.51649,0.074961,0.70902,0.066514,0.020996,0.26573,0.78809,0.62294,0.086371,0.73955,0.88884,0.063136,0.33037,0.60101,no
0.50355,0.027702,0.70296,0.067653,0.0064462,0.15508,0.85422,0.68287,0.093004,0.75059,0.88762,0.065589,0.4654,0.71904,no
0.48096,0.071464,0.70641,0.066406,0.021908,0.22808,0.84755,0.5243,0.16986,0.73264,0.88653,0.054478,0.41071,0.64925,no
0.51406,0.073236,0.72032,0.066493,0.022425,0.26485,0.83251,0.15974,0.21113,0.70484,0.89107,0.052297,0.33861,0.52956,no
0.59792,0.086118,0.71288,0.066556,0.034782,0.31401,0.80384,0.4713,0.13099,0.72665,0.89139,0.048612,0.35409,0.68263,no
0.50143,0.080157,0.71173,0.066492,0.025931,0.28794,0.76536,0.56659,0.09996,0.73954,0.89117,0.063612,0.37386,0.63685,no
0.61815,0.052942,0.72386,0.066276,0.026459,0.27722,0.75905,0.042993,0.10949,0.53107,0.88362,0.014572,0.1497,0.91741,no
0.55174,0.059237,0.71998,0.066522,0.028337,0.29432,0.74491,0.7032,0.071735,0.73828,0.88721,0.054291,0.40846,0.63946,no
0.49119,0.11697,0.70751,0.066492,0.029769,0.21532,0.71138,0.57317,0.095981,0.74665,0.88918,0.042213,0.31413,0.65671,no
0.52284,0.066335,0.71653,0.066436,0.032343,0.27502,0.82445,0.58399,0.11587,0.74117,0.88586,0.042438,0.31625,0.59084,no
0.0011177,0.28019,0.55469,0.066477,0.043711,0.063132,0.61719,0.22176,0.17719,0.71025,0.88871,0.041556,0.31578,0.56942,no
0.54537,0.077885,0.73047,0.066121,0.032824,0.32185,0.75542,0.17523,0.19602,0.71016,0.88992,0.045804,0.23123,0.52453,no
0.47387,0.021667,0.7166,0.066585,0.01155,0.15617,0.78101,0.36385,0.16595,0.72132,0.89175,0.053219,0.35673,0.65029,no
0.61137,0.070348,0.72473,0.066508,0.021994,0.22039,0.74015,0.565,0.12041,0.74603,0.89124,0.050335,0.27283,0.57897,no
0.41336,0.08244,0.71742,0.070784,0.019919,0.19367,0.7279,0.58758,0.097679,0.73773,0.89177,0.060663,0.40469,0.67615,no
0.63976,0.037649,0.721,0.066536,0.020945,0.25738,0.77091,0.16893,0.15294,0.70209,0.89112,0.064345,0.43773,0.72656,no
0.041984,0.14455,0.67076,0.066436,0.020832,0.13981,0.66522,0.15909,0.14563,0.69863,0.88425,0.037012,0.39646,0.81088,no
0.3678,0.068129,0.7022,0.066583,0.02817,0.24912,0.78629,0.6325,0.049324,0.75079,0.88807,0.041716,0.38986,0.75231,no
0.58742,0.053694,0.71516,0.066555,0.02569,0.26922,0.73942,0.61305,0.074681,0.75299,0.88875,0.033009,0.24866,0.64205,no
0.57046,0.073201,0.70983,0.066637,0.02626,0.29855,0.81734,0.47092,0.12591,0.73645,0.88868,0.03453,0.27002,0.62773,no
0.56989,0.069541,0.72017,0.066607,0.020872,0.2588,0.75966,0.0068298,0.26195,0.6524,0.88787,0.028811,0.2265,0.56892,no
0.62461,0.064769,0.71845,0.066485,0.032069,0.28086,0.72805,0.0086805,0.25925,0.61839,0.89207,0.037805,0.23292,0.60564,no
0.070651,0.15051,0.67628,0.066561,0.019187,0.17574,0.69067,0.16236,0.17063,0.70074,0.89124,0.037931,0.31701,0.72171,no
0.44847,0.067807,0.71192,0.066581,0.022319,0.28274,0.78092,0.41405,0.13978,0.72543,0.89186,0.051086,0.35088,0.70787,no
